;UniqueOPID;LatitudeEpsg4326;LongitudeEpsg4326;Name;OPTafTapCode;Country;ValidityDateStart;ValidityDateEnd;IsCurrentlyValid
7430;CZ57318;50.11263;14.50617;AHr Hloubetin;CZ57318;CZ;2020-12-12 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
7718;CZ58087;50.5858;15.14268;Turnov vyh. c. 1;CZ58087;CZ;2012-12-08 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
6255;CZ58349;50.596548;13.777837;Vyh Ledvice;CZ58349;CZ;2020-12-12 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
7107;CZ73076;49.9386;14.0312;Beroun km 42,709;CZ73076;CZ;2020-12-12 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
6703;CZ78030;48.62194;14.26167;vl. v km 18,796;CZ78030;CZ;2014-12-13 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
6600;CZ78054;49.16744;13.8936;vl. v km 11,276;CZ78054;CZ;2017-02-28 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
10060;ES05013;37.175;-4.1495;LOJA - SAN FRANCISCO;;ES;2015-11-18 23:00:00+00:00;;Valid
10058;ES05014;37.1537;-4.2014;RIOFRIO;;ES;2015-11-18 23:00:00+00:00;;Valid
10344;ES11604;43.3489;-1.7884;CAMBIADOR IRUN;;ES;2015-11-18 23:00:00+00:00;;Valid
10465;ES30101;41.0745;-5.6714;VALDUNCIEL;;ES;2015-11-18 23:00:00+00:00;;Valid
12123;ES30216;42.2983;-5.9051;LA BA?EZA;;ES;2015-11-18 23:00:00+00:00;;Valid
12124;ES30219;42.4094;-6.0072;VALDERREY;;ES;2015-11-18 23:00:00+00:00;;Valid
12191;ES31202;42.0233;-6.749;REQUEJO;;ES;2015-11-18 23:00:00+00:00;;Valid
12187;ES31207;42.0626;-7.3333;CASTRELO DO VAL-VERIN-CAMPOBECERROS;;ES;2015-11-18 23:00:00+00:00;;Valid
12204;ES31209;42.1256;-7.5109;A ALBERGUERIA-PRADO;;ES;2015-11-18 23:00:00+00:00;;Valid
12213;ES31212;42.2259;-7.7191;PONTEAMBIA;;ES;2015-11-18 23:00:00+00:00;;Valid
12214;ES31213;42.2564;-7.7531;PADERNE CANTO?A;;ES;2015-11-18 23:00:00+00:00;;Valid
11356;ES35102;39.9721;-4.0233;BARGAS;;ES;2015-11-18 23:00:00+00:00;;Valid
11154;ES50603;37.6494;-5.54776;CANTERA LOS LLANOS (CGD);;ES;2015-11-18 23:00:00+00:00;;Valid
12259;ES51007;37.31203;-5.96914;SEAT;;ES;2016-04-11 22:00:00+00:00;;Valid
12267;ES62105;38.3377;-0.4939;ALACANT-BENALUA;;ES;2015-11-18 23:00:00+00:00;;Valid
12268;ES62107;38.33062;-0.50729;ALACANT-PORT;;ES;2015-11-18 23:00:00+00:00;;Valid
10581;ES70114;40.46438;-3.43961;SOTO DEL HENARES;;ES;2015-11-18 23:00:00+00:00;;Valid
12207;ESB3020;41.51309;-5.74643;BIF. EL BOLON;;ES;2016-04-11 22:00:00+00:00;;Valid
21726;EU00140;46.051295;6.947907;Frontière FR-CH (Le Châtelard-Frontière - Vallorcine);;FR;1799-12-31 23:00:00+00:00;;Valid
16335;FR0000000207;48.9904377;1.6973451;Bif Piquettes CN (Côté Caen);FR02657;FR;1799-12-31 23:00:00+00:00;;Valid
22340;FR0000000316;48.8950331;2.3186259;Fin de ligne exploitée;;FR;1799-12-31 23:00:00+00:00;;Valid
13028;FR0000000364;48.8895681;2.3665924;Bif 001000/001379;;FR;1799-12-31 23:00:00+00:00;;Valid
19684;FR0000000412;48.2708472;2.3920185;Bif 683000/745000;;FR;1799-12-31 23:00:00+00:00;;Valid
22324;FR0000000422;48.8966662;2.37786;Bif 955000/955306;;FR;1799-12-31 23:00:00+00:00;;Valid
17666;FR0000000654;48.4588851;1.7706471;Bif 554000/555000;;FR;1799-12-31 23:00:00+00:00;;Valid
16191;FR0000000881;48.9863967;1.8938057;Bif 340000/340606;FR02824;FR;1799-12-31 23:00:00+00:00;;Valid
20648;FR0000000922;43.4206493;3.7351003;Bif 811000/810000/811500;;FR;1799-12-31 23:00:00+00:00;;Valid
18155;FR0000000975;44.8721456;-0.6065158;Bif 586000/587300 (Bonnaous);;FR;1799-12-31 23:00:00+00:00;;Valid
50675;FR0000001043;46.160694;-1.1966273;Bif 539000/539610;;FR;1799-12-31 23:00:00+00:00;;Valid
22327;FR0000001122;48.8816215;2.3859367;Bif 955000/954306;;FR;1799-12-31 23:00:00+00:00;;Valid
21291;FR0000001164;47.4492388;5.5603486;Bif 838000/851000;;FR;1799-12-31 23:00:00+00:00;;Valid
13903;FR0000001288;49.0880192;4.9218222;Bif 095000/093300;;FR;1799-12-31 23:00:00+00:00;;Valid
17255;FR0000001324;47.2191344;-1.5319006;Jct 515000/519000;;FR;1799-12-31 23:00:00+00:00;;Valid
50686;FR0000001379;50.4669046;2.5952304;Bif 309000/309606;;FR;1799-12-31 23:00:00+00:00;;Valid
50690;FR0000001483;46.160689;-1.1966782;Bif 539000/539614;;FR;1799-12-31 23:00:00+00:00;;Valid
22325;FR0000001525;48.8957035;2.3282202;Bif 955000/961300;;FR;1799-12-31 23:00:00+00:00;;Valid
13040;FR0000001552;48.8857735;2.4781482;Bif 001000/990000;FR00085;FR;1799-12-31 23:00:00+00:00;;Valid
50693;FR0000001612;46.1611058;-1.1924806;Bif 539000/539606;;FR;1799-12-31 23:00:00+00:00;;Valid
18432;FR0000001623;45.6671395;0.3141566;Bif 617000/610000;;FR;1799-12-31 23:00:00+00:00;;Valid
22323;FR0000001737;48.8865736;2.3849828;Bif 955000/954311;;FR;1799-12-31 23:00:00+00:00;;Valid
13880;FR0000001996;49.0839515;4.8936006;Bif 085000/092300;;FR;1799-12-31 23:00:00+00:00;;Valid
15055;FR0000002114;49.7387294;3.0818998;Bif 261000/261611;;FR;1799-12-31 23:00:00+00:00;;Valid
21691;FR0000002130;45.9262481;6.7198773;Chedde;FR07068;FR;1799-12-31 23:00:00+00:00;;Valid
19528;FR0000002155;45.1090461;2.8695669;Murat;FR05586;FR;1799-12-31 23:00:00+00:00;;Valid
18435;FR0000002259;45.8724931;0.7168522;Chabanais;FR05006;FR;1799-12-31 23:00:00+00:00;;Valid
19059;FR0000002398;42.5010367;2.1368595;Planès;FR07949;FR;1799-12-31 23:00:00+00:00;;Valid
21700;FR0000002431;45.9506348;6.8990336;Les Tines;FR07079;FR;1799-12-31 23:00:00+00:00;;Valid
19052;FR0000002438;42.4412991;2.0105891;Ste-Léocadie;FR07956;FR;1799-12-31 23:00:00+00:00;;Valid
19046;FR0000002573;42.4912281;2.0383503;Font-Romeu-Odeillo-Via;FR07952;FR;1799-12-31 23:00:00+00:00;;Valid
19040;FR0000002610;42.5138078;2.1885204;Fontpédrouse-St-Thomas-les-Bains;FR07947;FR;1799-12-31 23:00:00+00:00;;Valid
19048;FR0000002624;42.4632363;2.0179347;Estavar;FR07953;FR;1799-12-31 23:00:00+00:00;;Valid
19521;FR0000002658;45.0905117;2.7534912;Le Lioran;FR05585;FR;1799-12-31 23:00:00+00:00;;Valid
19057;FR0000002681;42.4580681;1.916903;Béna-Fanes;FR07960;FR;1799-12-31 23:00:00+00:00;;Valid
19045;FR0000002710;42.4983327;2.0848529;Bolquère-Eyne;FR07951;FR;1799-12-31 23:00:00+00:00;;Valid
19049;FR0000002721;42.4568146;2.0322363;Saillagouse;FR07954;FR;1799-12-31 23:00:00+00:00;;Valid
18374;FR0000002794;47.3885503;1.9222879;Selles-St-Denis;FR04599;FR;1799-12-31 23:00:00+00:00;;Valid
18364;FR0000002919;47.3556046;1.738949;Romorantin (Voie étroite);FR04593;FR;1799-12-31 23:00:00+00:00;;Valid
19063;FR0000003020;42.4427539;2.0290334;Err;FR07955;FR;1799-12-31 23:00:00+00:00;;Valid
21692;FR0000003057;45.9818871;6.9267428;Argentière;FR07081;FR;1799-12-31 23:00:00+00:00;;Valid
18410;FR0000003107;45.8243728;0.4534429;Chasseneuil-sur-Bonnieure;FR04771;FR;1799-12-31 23:00:00+00:00;;Valid
21705;FR0000003145;45.9245156;6.7635357;Servoz;FR07069;FR;1799-12-31 23:00:00+00:00;;Valid
19066;FR0000003206;42.5020899;2.1131268;Mont-Louis-La Cabanasse;FR07950;FR;1799-12-31 23:00:00+00:00;;Valid
19516;FR0000003232;44.9759294;2.6316496;Vic-sur-Cère;FR05582;FR;1799-12-31 23:00:00+00:00;;Valid
21706;FR0000003302;46.019267;6.9205092;Le Buet;FR07085;FR;1799-12-31 23:00:00+00:00;;Valid
19062;FR0000003320;42.5416514;2.2630368;Nyers;FR07944;FR;1799-12-31 23:00:00+00:00;;Valid
21713;FR0000003413;45.9067966;6.8390907;Les Bossons;FR07074;FR;1799-12-31 23:00:00+00:00;;Valid
21690;FR0000003425;45.9198311;6.8666331;Chamonix-Aiguille du Midi;FR03500;FR;2009-05-31 22:00:00+00:00;;Valid
18367;FR0000003449;47.1630923;1.5582915;Valençay;FR04609;FR;1799-12-31 23:00:00+00:00;;Valid
18418;FR0000003452;45.8863052;0.6669342;Exideuil-sur-Vienne;FR05007;FR;1799-12-31 23:00:00+00:00;;Valid
19039;FR0000003468;42.522924;2.2227165;Thuès;FR07946;FR;1799-12-31 23:00:00+00:00;;Valid
18370;FR0000003483;47.2551212;1.6460277;Chabris;FR04610;FR;1799-12-31 23:00:00+00:00;;Valid
18417;FR0000003532;45.6763434;0.221215;Ruelle;FR04769;FR;1799-12-31 23:00:00+00:00;;Valid
19068;FR0000003638;42.4325103;1.9487127;Bourg-Madame;FR07958;FR;1799-12-31 23:00:00+00:00;;Valid
21698;FR0000003781;45.912562;6.8473771;Les Pélerins;FR07075;FR;1799-12-31 23:00:00+00:00;;Valid
18371;FR0000003827;47.3324218;1.7022982;Les Quatre-Roues;FR04603;FR;1799-12-31 23:00:00+00:00;;Valid
18369;FR0000003839;47.3131307;1.672184;Pruniers;FR04604;FR;1799-12-31 23:00:00+00:00;;Valid
21712;FR0000003843;45.9658175;6.9101499;La Joux;FR07080;FR;1799-12-31 23:00:00+00:00;;Valid
18373;FR0000003892;47.36944;1.7972064;Villeherviers;FR04601;FR;1799-12-31 23:00:00+00:00;;Valid
18368;FR0000003947;47.366929;1.7402214;Faubourg-d'Orléans;FR04602;FR;1799-12-31 23:00:00+00:00;;Valid
18431;FR0000004004;45.7402017;0.3897369;La Rochefoucauld;FR04770;FR;1799-12-31 23:00:00+00:00;;Valid
19043;FR0000004055;42.5289126;2.2490929;Thuès-les-Bains;FR07945;FR;1799-12-31 23:00:00+00:00;;Valid
19053;FR0000004144;42.4199616;1.9770777;Osséja;FR07957;FR;1799-12-31 23:00:00+00:00;;Valid
19051;FR0000004188;42.5615201;2.3110881;Joncet;FR07942;FR;1799-12-31 23:00:00+00:00;;Valid
18372;FR0000004333;47.133056;1.4359521;Luçay-le-Mâle;FR04624;FR;1799-12-31 23:00:00+00:00;;Valid
18421;FR0000004394;45.8893684;0.5789034;Roumazières-Loubert;FR04772;FR;1799-12-31 23:00:00+00:00;;Valid
18365;FR0000004404;47.3835705;1.9582745;La Ferté-Imbault;FR04594;FR;1799-12-31 23:00:00+00:00;;Valid
18375;FR0000004475;47.3902399;1.8343531;Loreux;FR04600;FR;1799-12-31 23:00:00+00:00;;Valid
19050;FR0000004479;42.5669961;2.3231032;Serdinya;FR07941;FR;1799-12-31 23:00:00+00:00;;Valid
21695;FR0000004597;45.9226635;6.8741484;Chamonix-Mont-Blanc;FR07076;FR;1799-12-31 23:00:00+00:00;;Valid
21709;FR0000004631;45.8971207;6.7850366;Viaduc-Ste-Marie;FR07071;FR;1799-12-31 23:00:00+00:00;;Valid
21693;FR0000004643;45.99621;6.9344995;Montroc-le-Planet;FR07082;FR;1799-12-31 23:00:00+00:00;;Valid
21699;FR0000004717;45.9398536;6.8886863;Les Praz-de-Chamonix;FR07078;FR;1799-12-31 23:00:00+00:00;;Valid
19067;FR0000004726;42.5547181;2.2720457;Olette-Canaveilles-les-Bains;FR07943;FR;1799-12-31 23:00:00+00:00;;Valid
21707;FR0000004826;46.0324045;6.9328948;Vallorcine;FR07083;FR;1799-12-31 23:00:00+00:00;;Valid
19056;FR0000004875;42.4574758;1.9404712;Ur-les-Escaldes;FR07959;FR;1799-12-31 23:00:00+00:00;;Valid
21703;FR0000005014;45.8994023;6.8263153;Taconnaz;FR07073;FR;1799-12-31 23:00:00+00:00;;Valid
21702;FR0000005049;45.8936116;6.7968162;Les Houches;FR07072;FR;1799-12-31 23:00:00+00:00;;Valid
18366;FR0000005063;47.214383;1.6145054;Varennes-sur-Fouzon;FR04611;FR;1799-12-31 23:00:00+00:00;;Valid
21696;FR0000005070;45.9162457;6.8573525;Les Moussoux;FR07077;FR;1799-12-31 23:00:00+00:00;;Valid
19058;FR0000005109;42.5063149;2.1598693;Sauto;FR07948;FR;1799-12-31 23:00:00+00:00;;Valid
17322;FR0000005275;47.2367674;-1.4879944;Nantes-Blottereau;;FR;1799-12-31 23:00:00+00:00;;Valid
21087;FR0000005321;44.5638633;4.7462319;ITE;;FR;1799-12-31 23:00:00+00:00;2022-03-12 23:00:00+00:00;Invalid
50730;FR0000005375;43.4326372;4.7796663;Salins du midi;;FR;2004-02-29 23:00:00+00:00;;Valid
18376;FR0000005427;47.3536614;1.7386776;Faisceau Romorantin;;FR;1799-12-31 23:00:00+00:00;;Valid
18974;FR0000005517;43.5055214;-1.485361;Faisceau pair;;FR;1799-12-31 23:00:00+00:00;;Valid
19535;FR0000005540;44.9747831;2.6290066;Faisceau Voie 4 voie de draisine;;FR;1799-12-31 23:00:00+00:00;;Valid
18433;FR0000005609;45.8836707;0.6865771;Sté des Carrières d'Exideuil-sur-Vienne;FR05008;FR;2004-02-29 23:00:00+00:00;;Valid
13006;FR0000005626;48.2273298;4.72137;Finition du siège;FR00292;FR;1799-12-31 23:00:00+00:00;2022-06-30 22:00:00+00:00;Invalid
12960;FR0000005700;48.8945324;2.3695909;Tafanel;;FR;2004-02-29 23:00:00+00:00;;Valid
13376;FR0000005761;48.6139146;6.2690329;Faisceau impair Ville-en-Vermois;;FR;1799-12-31 23:00:00+00:00;;Valid
13375;FR0000005842;48.611527;6.2535931;Faisceau pair Ville-en-Vermois;;FR;1799-12-31 23:00:00+00:00;;Valid
17645;FR0000005908;48.0703941;1.3381807;Embt Sté FOREST;;FR;1799-12-31 23:00:00+00:00;;Valid
18409;FR0000005927;45.8914106;0.5836203;Faisceau impair 3 à 9;;FR;1799-12-31 23:00:00+00:00;;Valid
19523;FR0000005972;45.1086619;2.8654737;Faisceau Pair;;FR;1799-12-31 23:00:00+00:00;;Valid
18278;FR0000005998;45.7940729;1.248671;Km 406,9;;FR;2004-02-29 23:00:00+00:00;;Valid
18414;FR0000006046;45.6770452;0.218589;Embt de la Fonderie de la Marine;;FR;1799-12-31 23:00:00+00:00;;Valid
16065;FR0000006105;48.956747;2.0829306;Parc Equipement;;FR;1799-12-31 23:00:00+00:00;;Valid
17241;FR0000006225;47.2041117;-1.5573286;Faisceau pair;;FR;1799-12-31 23:00:00+00:00;;Valid
17633;FR0000006307;47.6945404;1.0131979;Sté Coopérative de vente du Vendomais;;FR;2004-12-31 23:00:00+00:00;;Valid
17242;FR0000006429;47.2041021;-1.5574394;Cofaz;;FR;1799-12-31 23:00:00+00:00;;Valid
20266;FR0000006518;45.8999042;4.7850806;Faisceau Garage;;FR;1799-12-31 23:00:00+00:00;;Valid
19060;FR0000006527;42.5892532;2.3692575;Faisceau dépot et entretien;;FR;1799-12-31 23:00:00+00:00;;Valid
21701;FR0000006591;45.9231667;6.7649393;Faisceau Impair;;FR;1799-12-31 23:00:00+00:00;;Valid
19832;FR0000006598;46.585575;3.3224198;POTAIN;;FR;1799-12-31 23:00:00+00:00;;Valid
20800;FR0000006630;46.7816113;4.8431711;ET Dijon UPT Châlon-sur-Saône;;FR;1799-12-31 23:00:00+00:00;;Valid
19755;FR0000006679;48.3243478;2.5729923;Coopérative agricole du Gatinais;;FR;1799-12-31 23:00:00+00:00;;Valid
19540;FR0000006707;45.1091504;2.87119;Faisceau Impair;;FR;1799-12-31 23:00:00+00:00;;Valid
21704;FR0000006708;45.9219358;6.8731068;Faisceau pair;;FR;1799-12-31 23:00:00+00:00;;Valid
15873;FR0000006783;49.6562316;1.8240186;Faisceau pair;;FR;1799-12-31 23:00:00+00:00;;Valid
22546;FR0000006806;48.7156766;2.2749606;CURMA;;FR;2004-02-29 23:00:00+00:00;;Valid
19538;FR0000006857;44.9073245;2.4588613;Simvra;FR05556;FR;2004-02-29 23:00:00+00:00;;Valid
18428;FR0000006953;45.6769898;0.2187692;Faisceau pair 6 et 8;;FR;1799-12-31 23:00:00+00:00;;Valid
19694;FR0000007088;48.2698203;2.391926;LOCANER;;FR;1799-12-31 23:00:00+00:00;;Valid
19047;FR0000007103;42.589837;2.3694174;Faisceau pair 4 et 6;;FR;1799-12-31 23:00:00+00:00;;Valid
18994;FR0000007115;44.7708448;-0.7016718;SODIMO;;FR;1799-12-31 23:00:00+00:00;;Valid
21697;FR0000007286;45.9066248;6.701263;EMF Mont-Blanc  (St Gervais);;FR;1799-12-31 23:00:00+00:00;;Valid
17632;FR0000007418;47.6923325;1.0112549;Ets Lesgourgues Cargill;;FR;2004-12-31 23:00:00+00:00;;Valid
14394;FR0000007444;49.2153676;6.6254261;Faisceau Hargarten-Falck Pair V4 à V42;;FR;1799-12-31 23:00:00+00:00;;Valid
13039;FR0000007456;48.2267562;4.3301942;Faisceau Pair;;FR;1799-12-31 23:00:00+00:00;2022-06-30 22:00:00+00:00;Invalid
17240;FR0000007502;47.2035485;-1.5593648;Sté Pazanne;;FR;1799-12-31 23:00:00+00:00;;Valid
21710;FR0000007786;45.9269103;6.7222097;Faisceau Pair;;FR;1799-12-31 23:00:00+00:00;;Valid
13730;FR0000007875;48.7440825;7.3575819;Kuhn Frères et Cie;;FR;2004-02-29 23:00:00+00:00;;Valid
13378;FR0000007884;48.6047;6.173829;ZI Ludres;FR00419;FR;1799-12-31 23:00:00+00:00;;Valid
21982;FR0000007939;45.2595134;5.4752937;ITE BALTHAZARD;;FR;1799-12-31 23:00:00+00:00;;Valid
17634;FR0000007943;47.6956143;1.0141516;Coopérative des Agriculteurs du Loir-et-Cher;;FR;2004-12-31 23:00:00+00:00;;Valid
19793;FR0000008170;48.1784458;2.740072;Faisceau Impair;;FR;1799-12-31 23:00:00+00:00;;Valid
17665;FR0000008223;48.4599925;1.7670259;Embt coop agricole du syndicat du Dunois;;FR;1799-12-31 23:00:00+00:00;;Valid
12980;FR0000008264;48.895442;2.3710283;Faisceau Impair 2 La villette;;FR;1799-12-31 23:00:00+00:00;;Valid
16207;FR0000008306;48.9923433;1.695375;Dépôt;;FR;1799-12-31 23:00:00+00:00;;Valid
16668;FR0000008361;48.4967944;-4.0757798;Faisceau Pair;;FR;1799-12-31 23:00:00+00:00;;Valid
19042;FR0000008370;42.4567951;1.9083442;Faisceau V19;;FR;1799-12-31 23:00:00+00:00;;Valid
21005;FR0000008442;44.1358309;4.8262569;Faisceau pair Orange;FR07630;FR;1799-12-31 23:00:00+00:00;;Valid
50888;FR0000008534;50.8322525;1.7566878;Sté des calcaires Magnésiens;;FR;1799-12-31 23:00:00+00:00;;Valid
20264;FR0000008598;45.9001273;4.7856533;Km 494,9;;FR;2004-02-29 23:00:00+00:00;;Valid
19758;FR0000008912;48.3100925;2.5370881;GRES et SABLES INDUSTRIELS;FR05959;FR;1799-12-31 23:00:00+00:00;;Valid
16799;FR0000009019;48.81399;2.2724137;Faisceau Impair;;FR;1799-12-31 23:00:00+00:00;;Valid
21960;FR0000009156;43.49848;5.3622258;Faisceau pair;;FR;1799-12-31 23:00:00+00:00;;Valid
13305;FR0000009168;48.5284333;5.1086427;Faisceau Pair;;FR;1799-12-31 23:00:00+00:00;;Valid
19044;FR0000009199;42.4318747;1.9498957;Faisceau V3;;FR;1799-12-31 23:00:00+00:00;;Valid
21040;FR0000009489;44.1422806;4.8134469;Faisceau Impair;;FR;1799-12-31 23:00:00+00:00;;Valid
16364;FR0000009490;48.9878846;1.7067532;Impasse;;FR;1799-12-31 23:00:00+00:00;;Valid
16241;FR0000009501;49.4962184;0.1403812;Faisceau V33 a V69;;FR;1799-12-31 23:00:00+00:00;;Valid
13381;FR0000009557;48.6171615;6.2801632;Entreprise Pétrolière de Nancy;;FR;2004-02-29 23:00:00+00:00;;Valid
19064;FR0000009573;42.5020473;2.1147714;Faisceau pair 4 et 6;;FR;1799-12-31 23:00:00+00:00;;Valid
13902;FR0000009668;49.0897498;4.9088708;Faisceau pair;;FR;1799-12-31 23:00:00+00:00;;Valid
22326;FR0000009698;48.8408319;2.4079357;Fin de ligne exploitée;;FR;2010-12-31 23:00:00+00:00;;Valid
17667;FR0000009728;48.4601162;1.7664765;Fin de ligne exploitée;;FR;1975-01-31 23:00:00+00:00;;Valid
22312;FR0000009754;43.46362;5.626643;Fin de ligne exploitée;;FR;2008-12-31 23:00:00+00:00;;Valid
20060;FR0000009784;47.2611814;3.3914208;Fin de ligne exploitée;;FR;2003-01-31 23:00:00+00:00;;Valid
13760;FR0000009813;48.8720897;2.5988912;Accès à Dépôt Vaires;;FR;1799-12-31 23:00:00+00:00;;Valid
17338;FR0000009860;47.2225118;-1.5148476;Accès à Nantes-Blottereau;;FR;1799-12-31 23:00:00+00:00;;Valid
15729;FR0000010148;50.8510911;1.8109342;Accès à Faisceau Pair de Caffier V4 à V10;;FR;1799-12-31 23:00:00+00:00;;Valid
18411;FR0000010326;45.885065;0.6846966;Accès à Sté des Carrières d'Exideuil-sur-Vienne;FR05008;FR;2004-02-29 23:00:00+00:00;;Valid
13380;FR0000010650;48.6138353;6.2685752;Accès à Faisceau pair Ville-en-Vermois;;FR;1799-12-31 23:00:00+00:00;;Valid
21387;FR0000010675;47.3061722;5.0307889;Accès à UPM Perrigny (Technicentre BFC);;FR;1799-12-31 23:00:00+00:00;;Valid
